char,frequency,percentage
人,24330,0.8727549786133777
山,19520,0.7002127900753446
日,17426,0.625097749992467
风,16057,0.5759895886393345
云,14086,0.5052867500512963
有,13632,0.48900106323294557
春,13132,0.47106528479863863
天,12929,0.4637833587543099
白,12836,0.4604473039655289
花,12232,0.43878088361688605
月,12070,0.43296969140417063
时,11914,0.4273737285326668
水,11723,0.42052226117076147
相,10908,0.39128694232284117
长,10791,0.3870899701692133
君,10158,0.36438327467138065
归,10097,0.3621951097023952
年,10058,0.3607961189845193
秋,9768,0.3503933674926212
生,9741,0.3494248354571686
见,9447,0.3388785977377961
行,9366,0.3359730016314384
江,9163,0.32869107558710975
心,9118,0.3270768555280221
夜,9010,0.32320272738621186
知,8982,0.32219832379389063
如,8821,0.3164230031380438
下,8162,0.2927836471616272
李,8127,0.29152814267122573
高,8007,0.28722355584699205
空,8003,0.2870800696195176
清,7957,0.2854299780035613
南,7743,0.27775346483367797
在,7717,0.276820804355094
明,7610,0.2729825477701523
子,7517,0.26964649298137117
门,7358,0.2639429154392615
里,7238,0.2596383286150279
客,7120,0.25540548490453147
未,7063,0.2533608061630205
事,7040,0.2525357603550423
金,7023,0.2519259438882759
处,6973,0.2501323660448452
道,6961,0.24970190736242184
作,6824,0.24478750407142172
送,6767,0.2427428253299107
青,6722,0.24112860527082308
玉,6713,0.24080576125900555
东,6694,0.24012420167850188
多,6682,0.23969374299607854
歌,6665,0.2390839265293121
寒,6631,0.2378642935957792
别,6621,0.23750557802709307
雨,6556,0.23517392683063315
王,6469,0.23205310138306373
落,6411,0.22997255108468412
家,6387,0.2291116337198374
居,6354,0.22792787234317313
声,6347,0.22767677144509285
城,6296,0.22584732204479355
远,6222,0.2231928268365161
朝,6182,0.22175796456177155
千,6171,0.22136337743621676
新,6163,0.22107640498126788
出,6099,0.21878062534167658
今,6077,0.21799145109056708
前,6051,0.2170587906119831
应,6050,0.21702291905511448
入,6031,0.2163413594746108
西,6000,0.2152293412116838
书,5937,0.21296943312896113
万,5893,0.21139108462674208
阳,5888,0.21121172684239903
游,5871,0.21060191037563258
路,5849,0.20981273612452309
马,5835,0.2093105343283625
思,5819,0.20873658941846468
诗,5801,0.2080909013948296
草,5668,0.20331998433130394
寄,5647,0.20256668163706307
飞,5628,0.2018851220565594
十,5564,0.1995893424169681
我,5516,0.19786750768727465
开,5503,0.19740117744798266
树,5499,0.1972576912205082
同,5474,0.19636090229879286
酒,5467,0.19610980140071255
尽,5451,0.1955358564908147
深,5446,0.19535649870647165
流,5427,0.194674939125968
将,5407,0.19395750798859573
望,5358,0.19219980170203363
烟,5343,0.1916617283490044
还,5312,0.19054971008607738
回,5280,0.18940182026628175
成,5227,0.1875006277522452
和,5218,0.18717778374042768
闻,5206,0.18674732505800432
光,5145,0.18455916008901885
地,5130,0.18402108673598966
独,5100,0.18294494002993122
闲,5071,0.18190466488074142
色,5051,0.18118723374336915
石,5038,0.18072090350407716
欲,5031,0.18046980260599685
重,4988,0.17892732566064648
谁,4982,0.17871209631943477
公,4968,0.17820989452327418
雪,4935,0.17702613314660992
林,4822,0.17297264722045655
古,4772,0.17117906937702584
从,4747,0.1702822804553105
向,4681,0.16791475770198197
二,4662,0.1672331981214783
更,4635,0.16626466608602575
海,4617,0.16561897806239068
方,4603,0.1651167762662301
楼,4594,0.16479393225441258
州,4568,0.1638612717758286
后,4535,0.16267751039916434
看,4528,0.16242640950108403
身,4485,0.16088393255573363
香,4482,0.16077631788512778
老,4481,0.16074044632825918
满,4414,0.15833705201806206
旧,4414,0.15833705201806206
情,4408,0.15812182267685035
愁,4396,0.157691363994427
衣,4269,0.15313567627211302
黄,4266,0.15302806160150717
首,4244,0.15223888735039767
头,4232,0.1518084286679743
龙,4229,0.15170081399736846
张,4183,0.15005072238141223
过,4180,0.14994310771080638
红,4179,0.14990723615393775
能,4140,0.1485082454360618
五,4134,0.14829301609485013
名,4127,0.14804191519676985
难,4101,0.14710925471818587
然,4093,0.14682228226323696
易,4083,0.14646356669455082
言,4068,0.1459254933415216
平,4034,0.14470586040798875
复,4019,0.14416778705495953
外,4015,0.14402430082748507
尘,4014,0.14398842927061647
起,3971,0.14244595232526608
曲,3926,0.14083173226617843
大,3920,0.14061650292496675
乐,3899,0.13986320023072585
台,3879,0.13914576909335358
莫,3864,0.13860769574032436
松,3848,0.13803375083042654
仙,3839,0.137710906818609
似,3832,0.13745980592052873
安,3804,0.13645540232820752
分,3794,0.13609668675952138
北,3782,0.13566622807709802
华,3765,0.13505641161033158
犹,3758,0.13480531071225127
初,3724,0.1335856777787184
发,3724,0.1335856777787184
到,3712,0.13315521909629505
故,3690,0.13236604484518555
叶,3665,0.1314692559234702
宫,3646,0.13078769634296653
当,3643,0.13068008167236067
少,3630,0.1302137514330687
离,3592,0.12885063227206137
晚,3591,0.12881476071519277
气,3580,0.128420173589638
鸟,3573,0.1281690726915577
柳,3562,0.12777448556600296
竹,3541,0.12702118287176206
间,3522,0.1263396232912584
九,3501,0.1255863205970175
题,3475,0.12465366011843353
怀,3463,0.12422320143601016
边,3450,0.12375687119671819
四,3443,0.12350577029863789
几,3436,0.12325466940055758
文,3431,0.12307531161621452
意,3430,0.12303944005934592
吟,3425,0.12286008227500284
亦,3405,0.12214265113763055
梦,3383,0.12135347688652105
非,3374,0.12103063287470352
百,3368,0.12081540353349182
国,3349,0.12013384395298818
暮,3339,0.11977512838430204
赠,3276,0.11751522030157935
醉,3258,0.11686953227794429
刘,3256,0.11679778916420706
辞,3241,0.11625971581117787
留,3240,0.11622384425430926
池,3228,0.1157933855718859
元,3225,0.11568577090128003
汉,3200,0.11478898197956469
随,3183,0.11417916551279825
河,3180,0.11407155084219242
孤,3172,0.1137845783872435
神,3166,0.1135693490460318
野,3149,0.11295953257926539
逢,3142,0.11270843168118508
庭,3119,0.11188338587320697
枝,3116,0.11177577120260111
问,3084,0.11062788138280547
世,3083,0.11059200982593685
阴,3080,0.11048439515533102
寺,3071,0.11016155114351349
泉,3063,0.10987457868856458
关,3032,0.10876256042563755
士,3030,0.10869081731190032
露,3016,0.10818861551573972
临,2998,0.10754292749210467
终,2985,0.10707659725281268
隐,2979,0.10686136791160102
坐,2969,0.10650265234291487
岁,2966,0.10639503767230901
溪,2947,0.10571347809180537
微,2940,0.10546237719372506
物,2931,0.10513953318190754
杜,2930,0.10510366162503892
幽,2915,0.10456558827200971
登,2909,0.10435035893079803
使,2896,0.10388402869150604
小,2875,0.10313072599726514
碧,2847,0.10212632240494397
经,2819,0.10112191881262278
霜,2818,0.10108604725575417
好,2815,0.10097843258514831
绿,2807,0.10069146013019942
期,2802,0.10051210234585634
宿,2782,0.09979467120848405
轻,2777,0.099615313424141
馀,2773,0.09947182719666653
乡,2764,0.099148983184849
波,2755,0.09882613917303147
芳,2749,0.0986109098318198
鹤,2749,0.0986109098318198
半,2734,0.09807283647879057
连,2727,0.09782173558071029
忆,2692,0.09656623109030879
休,2688,0.09642274486283434
陵,2668,0.09570531372546205
官,2662,0.09549008438425037
吹,2635,0.0945215523487978
曾,2629,0.09430632300758612
早,2624,0.09412696522324306
照,2623,0.09409109366637443
先,2618,0.09391173588203137
对,2610,0.09362476342708245
至,2607,0.09351714875647661
太,2603,0.09337366252900216
影,2600,0.09326604785839632
才,2590,0.09290733228971017
共,2589,0.09287146073284155
近,2583,0.09265623139162987
寻,2575,0.09236925893668096
郎,2574,0.09233338737981235
翠,2559,0.09179531402678315
正,2558,0.09175944246991453
须,2552,0.09154421312870284
两,2551,0.09150834157183423
岂,2542,0.0911854975600167
合,2530,0.09075503887759334
亭,2522,0.09046806642264442
晓,2515,0.09021696552456412
双,2513,0.0901452224108269
常,2506,0.0898941215127466
舟,2501,0.08971476372840352
罗,2484,0.08910494726163709
惊,2482,0.08903320414789986
断,2468,0.08853100235173927
遥,2458,0.08817228678305314
残,2428,0.08709614007699472
夕,2415,0.08662980983770273
楚,2408,0.08637870893962243
苦,2399,0.08605586492780491
主,2395,0.08591237870033044
动,2381,0.08541017690416985
却,2357,0.08454925953932313
沙,2347,0.08419054397063698
峰,2337,0.08383182840195084
垂,2334,0.083724213731345
静,2328,0.08350898439013332
僧,2328,0.08350898439013332
杨,2319,0.08318614037831579
木,2312,0.08293503948023549
园,2306,0.0827198101390238
紫,2302,0.08257632391154936
悲,2299,0.0824687092409435
女,2265,0.08124907630741063
又,2262,0.0811414616368048
语,2250,0.08071100295438143
师,2249,0.08067513139751281
凤,2239,0.08031641582882668
笑,2238,0.08028054427195806
鱼,2235,0.08017292960135221
真,2225,0.07981421403266607
听,2224,0.07977834247579746
恩,2223,0.07974247091892885
川,2222,0.07970659936206023
病,2220,0.079634856248323
绝,2216,0.07949137002084855
景,2215,0.07945549846397994
章,2208,0.07920439756589964
吴,2205,0.07909678289529379
鸣,2200,0.07891742511095072
堂,2199,0.0788815535540821
灵,2192,0.07863045265600181
兴,2181,0.07823586553044705
星,2172,0.07791302151862954
浮,2168,0.07776953529115507
湖,2167,0.07773366373428647
依,2158,0.07741081972246894
萧,2146,0.07698036104004556
丹,2145,0.07694448948317695
通,2141,0.0768010032557025
久,2130,0.07640641613014774
苍,2120,0.07604770056146161
德,2118,0.07597595744772438
车,2112,0.0757607281065127
传,2105,0.07550962720843239
只,2100,0.07533026942408932
忽,2098,0.0752585263103521
怜,2093,0.07507916852600903
秦,2093,0.07507916852600903
皇,2088,0.07489981074166596
吾,2087,0.07486393918479735
舞,2085,0.07479219607106012
泪,2084,0.07475632451419151
雁,2079,0.07457696672984844
唯,2077,0.07450522361611121
尚,2057,0.07378779247873893
奉,2057,0.07378779247873893
虚,2042,0.07324971912570973
数,2040,0.07317797601197248
转,2023,0.07256815954520605
爱,2021,0.07249641643146883
帝,2010,0.07210182930591406
田,2007,0.07199421463530824
府,2001,0.07177898529409656
散,1990,0.0713843981685418
齐,1983,0.0711332972704615
阁,1977,0.07091806792924982
寂,1976,0.0708821963723812
令,1972,0.07073871014490675
洞,1971,0.07070283858803814
堪,1971,0.07070283858803814
咏,1962,0.0703799945762206
侍,1955,0.0701288936781403
群,1945,0.06977017810945416
圣,1929,0.06919623319955634
会,1915,0.06869403140339574
许,1908,0.06844293050531544
军,1907,0.06840705894844684
甫,1906,0.06837118739157823
节,1903,0.06826357272097237
恨,1900,0.06815595805036653
昔,1898,0.0680842149366293
往,1888,0.06772549936794317
胡,1885,0.06761788469733732
疏,1877,0.06733091224238842
郊,1868,0.06700806823057089
窗,1860,0.06672109577562198
武,1856,0.06657760954814752
兰,1845,0.06618302242259277
穷,1840,0.0660036646382497
朱,1840,0.0660036646382497
谢,1834,0.06578843529703801
亲,1833,0.0657525637401694
直,1832,0.06571669218330078
火,1832,0.06571669218330078
谷,1831,0.06568082062643217
乱,1828,0.06557320595582633
觉,1821,0.06532210505774604
桃,1813,0.06503513260279711
容,1804,0.06471228859097959
用,1790,0.064210086794819
画,1787,0.06410247212421316
死,1787,0.06410247212421316
凉,1780,0.06385137122613287
御,1780,0.06385137122613287
皆,1776,0.06370788499865841
手,1775,0.0636720134417898
度,1775,0.0636720134417898
始,1775,0.0636720134417898
燕,1768,0.06342091254370949
悠,1766,0.06334916942997226
信,1764,0.06327742631623504
足,1763,0.06324155475936642
句,1763,0.06324155475936642
待,1762,0.06320568320249781
说,1755,0.06295458230441751
迟,1751,0.06281109607694306
霞,1748,0.0627034814063372
晴,1746,0.06263173829259999
暗,1743,0.06252412362199414
剑,1736,0.06227302272391385
征,1736,0.06227302272391385
珠,1732,0.06212953649643939
琴,1718,0.06162733470027879
带,1715,0.06151972002967296
感,1714,0.06148384847280433
伤,1711,0.0613762338021985
洛,1701,0.061017518233512355
学,1690,0.060622931107957606
功,1681,0.06030008709614008
胜,1676,0.06012072931179701
八,1673,0.06001311464119116
颜,1671,0.05994137152745394
喜,1670,0.05990549997058533
六,1668,0.059833756856848094
移,1668,0.059833756856848094
即,1663,0.05965439907250502
贤,1650,0.05918806883321305
观,1646,0.05904458260573859
宴,1638,0.058757610150789674
隔,1634,0.05861412392331521
虽,1628,0.05839889458210353
羽,1623,0.058219536797760464
塞,1620,0.05811192212715463
识,1620,0.05811192212715463
干,1619,0.05807605057028602
步,1619,0.05807605057028602
儿,1616,0.05796843589968017
逐,1614,0.05789669278594295
韩,1613,0.05786082122907432
结,1598,0.05732274787604511
顾,1598,0.05732274787604511
岸,1596,0.05725100476230789
立,1596,0.05725100476230789
斜,1594,0.057179261648570665
岩,1592,0.05710751853483343
韦,1589,0.0569999038642276
含,1585,0.05685641763675314
卧,1576,0.056533573624935614
周,1574,0.05646183051119839
酬,1574,0.05646183051119839
食,1573,0.056425958954329766
桂,1565,0.05613898649938086
陈,1564,0.056103114942512244
徒,1564,0.056103114942512244
都,1563,0.056067243385643624
绕,1562,0.05603137182877501
及,1557,0.05585201404443194
愿,1554,0.05574439937382611
镜,1552,0.055672656260088875
欢,1547,0.0554932984757458
杯,1541,0.05527806913453412
命,1539,0.0552063260207969
浪,1535,0.05506283979332244
横,1535,0.05506283979332244
丝,1523,0.05463238111089907
崔,1519,0.05448889488342462
殿,1518,0.054453023326555994
卿,1517,0.05441715176968739
倚,1499,0.053771463746052336
解,1494,0.05359210596170927
争,1491,0.05348449129110342
司,1487,0.05334100506362897
遗,1472,0.05280293171059976
锦,1468,0.052659445483125296
药,1466,0.052587702369388076
拂,1465,0.05255183081251946
贵,1463,0.05248008769878223
栖,1462,0.052444216141913615
疑,1462,0.052444216141913615
荒,1459,0.05233660147130778
湘,1459,0.05233660147130778
钟,1457,0.05226485835757055
字,1454,0.05215724368696471
本,1454,0.05215724368696471
化,1452,0.05208550057322748
兵,1450,0.05201375745949025
京,1450,0.05201375745949025
尔,1450,0.05201375745949025
梁,1448,0.05194201434575302
庙,1447,0.051906142788884405
夏,1439,0.0516191703339355
眼,1439,0.0516191703339355
友,1436,0.051511555663329656
口,1434,0.05143981254959243
舍,1434,0.05143981254959243
忧,1431,0.05133219787898659
交,1429,0.05126045476524936
便,1425,0.05111696853777491
禅,1425,0.05111696853777491
美,1424,0.05108109698090629
饮,1423,0.051045225424037666
定,1423,0.051045225424037666
啼,1421,0.050973482310300446
薄,1420,0.05093761075343183
玄,1417,0.050829996082825984
杂,1414,0.05072238141222015
翻,1413,0.05068650985535153
乘,1408,0.05050715207100846
惜,1404,0.05036366584353401
骑,1401,0.05025605117292817
阙,1399,0.05018430805919094
求,1399,0.05018430805919094
迹,1397,0.05011256494545371
飘,1387,0.049753849376767564
诸,1385,0.049682106263030344
卢,1383,0.04961036314929311
臣,1382,0.0495744915924245
沈,1380,0.049502748478687277
著,1378,0.04943100536495004
灯,1373,0.04925164758060698
越,1371,0.04917990446686975
异,1357,0.04867770267070915
卷,1355,0.048605959556971924
孟,1354,0.04857008800010331
商,1352,0.048498344886366083
兼,1348,0.04835485865889163
词,1344,0.04821137243141717
赋,1339,0.0480320146470741
劳,1337,0.04796027153333687
己,1336,0.04792439997646826
迎,1335,0.047888528419599646
频,1332,0.047780913748993806
映,1332,0.047780913748993806
侯,1331,0.047745042192125185
力,1330,0.04770917063525658
陆,1330,0.04770917063525658
猿,1329,0.04767329907838796
苔,1329,0.04767329907838796
忘,1327,0.04760155596465074
第,1319,0.047314583509701816
素,1318,0.04727871195283321
弦,1316,0.047206968839095975
孙,1313,0.047099354168490135
音,1312,0.04706348261162153
七,1299,0.046597152372329545
船,1299,0.046597152372329545
徐,1297,0.04652540925859232
钱,1291,0.04631017991738063
教,1288,0.04620256524677479
径,1287,0.046166693689906176
守,1286,0.046130822133037555
郡,1285,0.04609495057616895
端,1285,0.04609495057616895
任,1278,0.04584384967808865
桥,1277,0.04580797812122003
念,1275,0.045736235007482806
荣,1274,0.04570036345061419
折,1270,0.04555687722313974
邻,1270,0.04555687722313974
参,1270,0.04555687722313974
图,1268,0.04548513410940251
斗,1259,0.04516229009758498
郑,1256,0.04505467542697914
史,1253,0.0449470607563733
凝,1252,0.04491118919950469
莲,1251,0.04487531764263607
冷,1248,0.04476770297203023
战,1248,0.04476770297203023
引,1245,0.044660088301424386
他,1236,0.04433724428960686
由,1236,0.04433724428960686
惟,1235,0.04430137273273825
宁,1232,0.04419375806213241
细,1230,0.044122014948395176
暖,1229,0.04408614339152657
条,1222,0.04383504249344627
韵,1221,0.04379917093657765
贫,1218,0.043691556265971807
极,1216,0.04361981315223458
良,1214,0.04354807003849736
鼓,1211,0.04344045536789151
稀,1210,0.0434045838110229
遇,1209,0.043368712254154285
轩,1208,0.04333284069728567
摇,1204,0.04318935446981122
锡,1202,0.04311761135607399
偏,1194,0.042830638901125075
院,1193,0.04279476734425646
衰,1193,0.04279476734425646
报,1189,0.04265128111678201
魂,1189,0.04265128111678201
村,1188,0.04261540955991339
低,1188,0.04261540955991339
住,1186,0.042543666446176166
岳,1183,0.04243605177557032
