name,poem_count,top_chars
白居易,2643,"人,有,日,君,时"
杜甫,1150,"人,日,风,江,有"
李白,895,"人,天,山,云,风"
佚名,841,"天,有,神,德,明"
齐己,782,"风,有,山,人,云"
刘禹锡,702,"人,风,山,日,时"
元稹,592,"人,有,君,我,风"
李商隐,554,"有,人,风,日,时"
贯休,552,"人,如,山,有,天"
韦应物,551,"山,人,日,时,高"
陆龟蒙,519,"风,人,有,云,如"
刘长卿,508,"人,山,云,水,日"
皎然,506,"山,人,心,云,风"
杜牧,483,"人,风,日,山,云"
许浑,481,"山,风,云,水,月"
罗隐,469,"人,有,风,时,年"
张籍,466,"人,行,日,山,君"
姚合,457,"人,山,日,酒,相"
钱起,422,"云,山,人,日,花"
贾岛,404,"山,人,日,月,秋"
孟郊,402,"人,有,日,风,心"
王建,394,"人,山,头,日,家"
岑参,387,"人,山,君,云,月"
韩愈,372,"有,我,日,相,人"
皮日休,353,"如,有,人,云,日"
温庭筠,350,"春,花,风,金,水"
王维,349,"人,山,日,君,天"
张祜,347,"人,山,日,长,云"
权德舆,338,"风,人,清,相,云"
方干,336,"山,人,风,知,云"
韦庄,335,"人,花,云,日,春"
杜荀鹤,324,"人,山,时,未,有"
卢纶,322,"山,人,云,风,花"
韩偓,315,"人,风,花,时,日"
郑谷,312,"春,花,风,人,江"
张说,298,"人,天,山,日,心"
戴叔伦,288,"人,山,风,日,水"
李中,287,"月,风,花,梦,烟"
吴融,285,"人,有,风,云,月"
李端,271,"人,山,君,日,见"
薛能,270,"人,日,风,有,春"
孟浩然,267,"山,人,日,江,风"
赵嘏,257,"人,日,风,春,云"
徐铉,246,"人,风,山,春,日"
徐夤,245,"日,人,月,风,金"
皇甫冉,241,"山,人,远,日,云"
李群玉,238,"云,风,水,天,人"
李贺,234,"花,风,人,水,天"
顾况,234,"人,山,风,生,有"
司空图,230,"人,花,风,有,时"
李峤,214,"日,云,风,花,月"
高適,208,"人,山,知,君,日"
李频,203,"山,日,人,相,归"
黄滔,198,"人,日,山,风,月"
周昙,195,"人,能,知,国,有"
施肩吾,194,"人,年,花,夜,日"
张九龄,193,"有,人,云,山,日"
武元衡,192,"风,云,山,人,春"
宋之问,192,"山,日,云,人,天"
鲍溶,188,"人,日,风,天,云"
耿湋,180,"人,远,山,日,草"
王昌龄,178,"山,月,风,人,云"
李咸用,177,"风,人,云,时,山"
李益,177,"风,人,山,云,年"
储光羲,176,"山,天,云,清,人"
司空曙,174,"人,山,风,水,青"
沈佺期,170,"天,云,春,日,山"
柳宗元,169,"人,天,山,有,风"
张乔,168,"山,云,人,月,归"
马戴,167,"云,山,人,生,月"
李洞,167,"山,人,云,月,雪"
韩翃,166,"人,山,日,春,风"
唐彦谦,166,"风,人,春,花,有"
胡曾,166,"人,山,王,天,风"
朱庆馀,161,"人,山,日,在,处"
无名氏,157,"风,人,云,花,山"
杨巨源,147,"天,云,风,花,清"
曹松,145,"云,山,日,人,风"
罗邺,143,"人,花,山,风,年"
刘得仁,138,"人,山,日,有,云"
许棠,137,"人,山,风,多,日"
李德裕,135,"山,日,人,清,有"
李嘉祐,133,"人,山,水,日,花"
李颀,129,"人,山,日,云,花"
李绅,126,"风,月,山,云,水"
骆宾王,124,"风,月,山,水,里"
雍陶,123,"人,山,风,花,时"
戎昱,118,"人,日,天,风,心"
刘商,111,"人,日,风,天,山"
陈陶,110,"云,天,风,人,山"
卢照邻,108,"云,风,山,人,天"
李涉,108,"人,年,山,水,云"
吕岩,106,"人,天,生,金,道"
曹邺,106,"人,如,有,山,日"
苏颋,105,"天,日,花,云,人"
吕温,104,"人,风,时,有,天"
张蠙,102,"人,有,家,山,日"
崔涂,101,"人,年,春,江,生"
刘沧,101,"山,水,云,风,月"
无可,98,"山,云,风,人,寒"
项斯,97,"人,归,有,时,日"
羊士谔,94,"风,山,人,日,清"
周贺,93,"山,夜,人,归,行"
卢仝,92,"天,人,心,我,君"
徐凝,91,"人,花,白,山,水"
元结,91,"人,有,山,欲,能"
薛逢,91,"日,年,人,云,天"
陈子昂,90,"云,白,山,人,子"
李建勋,88,"风,日,春,人,闲"
李世民,88,"风,云,花,日,长"
独孤及,82,"日,山,天,人,风"
王勃,81,"花,山,江,相,风"
欧阳詹,80,"人,有,云,风,天"
李山甫,78,"风,人,云,春,天"
吴筠,77,"天,道,人,心,然"
薛涛,77,"风,花,春,人,玉"
殷尧藩,77,"花,日,山,人,雨"
孙元晏,75,"人,知,君,将,有"
刘驾,74,"人,日,城,如,归"
刘兼,73,"风,花,春,云,金"
顾非熊,72,"人,客,山,声,风"
章孝标,72,"风,云,花,人,天"
郎士元,72,"山,人,秋,日,水"
李郢,71,"山,日,人,春,清"
刘言史,71,"人,花,时,风,天"
于鹄,69,"人,山,长,年,有"
严维,68,"山,时,人,日,月"
崔道融,67,"人,花,月,春,风"
王贞白,66,"长,风,人,月,时"
李隆基,66,"人,天,风,长,云"
喻凫,64,"风,花,山,月,云"
牟融,62,"风,人,客,山,林"
陈羽,61,"人,山,相,水,花"
杨衡,60,"云,风,人,水,日"
孙逖,60,"山,江,春,云,日"
汪遵,60,"人,风,高,事,如"
王周,53,"如,有,人,水,风"
常建,52,"人,日,天,云,清"
崔国辅,52,"时,年,相,春,望"
令狐楚,51,"风,玉,春,花,人"
于武陵,51,"人,风,应,山,客"
裴说,51,"人,有,山,高,相"
皇甫曾,50,"山,云,心,寒,知"
段成式,50,"成,式,段,张,复"
于濆,49,"人,日,长,妾,家"
武则天,48,"诚,德,礼,惟,方"
鱼玄机,48,"春,月,花,风,山"
张继,48,"山,人,风,客,年"
高骈,48,"人,花,满,今,水"
崔峒,48,"人,云,山,江,相"
包佶,48,"礼,风,神,惟,年"
崔颢,48,"人,长,日,春,家"
周朴,45,"人,山,风,云,高"
李乂,44,"日,天,水,地,临"
聂夷中,43,"人,日,在,如,生"
贾至,43,"云,里,风,长,日"
灵一,42,"山,云,水,风,月"
王绩,42,"人,有,知,长,山"
杜审言,41,"春,风,新,人,花"
曹唐,40,"花,玉,风,云,人"
张谓,40,"人,花,山,相,子"
窦巩,40,"人,年,花,飞,水"
裴夷直,40,"日,风,应,玉,知"
谭用之,39,"人,风,花,烟,云"
杨凝,39,"路,风,花,相,家"
司马扎,39,"人,山,花,月,空"
储嗣宗,39,"山,风,草,人,花"
虞世南,38,"飞,山,风,金,轻"
秦系,38,"山,人,时,知,云"
李煜,37,"春,花,月,人,梦"
徐彦伯,37,"花,玉,金,树,春"
秦韬玉,37,"人,风,山,云,春"
祖咏,36,"水,山,人,云,路"
魏徵,36,"斯,荐,既,万,德"
唐求,35,"山,日,水,秋,寒"
李远,35,"人,处,风,玉,水"
褚亮,35,"神,德,风,斯,光"
陆畅,35,"花,人,山,里,云"
李昌符,35,"人,多,风,归,雨"
孙光宪,35,"人,花,春,风,香"
崔湜,34,"山,风,年,月,城"
于邺,34,"人,有,应,山,几"
刘希夷,33,"春,花,人,风,落"
姚鹄,33,"日,归,云,望,同"
杨炯,33,"天,风,日,山,千"
林宽,33,"门,时,风,日,空"
邵谒,33,"人,如,天,有,日"
高蟾,32,"人,日,风,天,年"
尚颜,32,"山,云,道,诗,人"
王涯,32,"风,春,时,夜,人"
张泌,32,"花,风,春,香,烟"
孟贯,31,"山,云,路,相,多"
雍裕之,31,"风,声,年,似,明"
冯延巳,31,"风,花,春,人,月"
翁承赞,30,"风,长,花,归,心"
颜真卿,30,"颜,真,然,卿,皎"
熊孺登,30,"人,山,春,花,声"
张仲素,30,"水,夜,人,云,月"
郑巢,29,"寒,云,山,秋,远"
裴迪,29,"日,山,人,时,水"
刘方平,29,"月,春,日,花,风"
苏拯,29,"天,人,生,如,地"
崔橹,29,"人,烟,风,日,如"
卢肇,28,"人,日,如,时,知"
李百药,28,"风,长,落,日,年"
来鹄,28,"有,史,风,人,时"
许敬宗,28,"天,云,临,风,游"
杜光庭,28,"人,云,天,有,长"
裴度,28,"白,刘,度,裴,禹"
刘宪,27,"风,春,新,天,游"
刘叉,27,"人,天,有,生,古"
修睦,27,"人,长,日,有,雨"
张南史,27,"云,风,山,水,人"
刘威,27,"风,日,山,月,归"
殷文圭,27,"人,金,吟,玉,九"
窦常,26,"人,风,春,在,花"
沈亚之,26,"日,如,春,花,云"
朱放,26,"山,人,处,水,相"
章碣,26,"风,山,人,花,天"
綦毋潜,26,"人,路,花,山,客"
子兰,25,"人,声,尽,骨,长"
欧阳炯,25,"花,春,人,金,红"
韩琮,25,"如,云,花,春,年"
郑愔,25,"花,风,吹,日,天"
卢象,25,"人,相,山,时,家"
和凝,24,"金,香,花,玉,风"
窦群,23,"人,苍,白,相,光"
朱湾,23,"心,人,有,山,云"
