,poets,count,percentage,birth_year,death_year,period
0,白居易,2643,6.153810333185872,772,846,中唐
1,杜甫,1151,2.679922699015111,712,770,盛唐
2,李白,897,2.0885235977554775,701,762,盛唐
3,佚名,842,1.9604647372465016,-1,-1,唐
4,齐己,783,1.8230925050641458,864,943,晚唐
5,刘禹锡,704,1.6391534145148898,772,842,中唐
6,元稹,593,1.3807073505785932,779,831,中唐
7,李商隐,555,1.2922303196814826,812,858,中唐
8,贯休,553,1.2875736338447927,832,912,晚唐
9,韦应物,551,1.2829169480081026,737,792,盛唐
10,陆龟蒙,520,1.210738317539407,-1,881,晚唐
11,刘长卿,509,1.1851265454376119,726,786,盛唐
12,皎然,506,1.178141516682577,-1,-1,唐
13,杜牧,484,1.1269179724789868,803,852,中唐
14,许浑,482,1.1222612866422965,-1,-1,唐
15,罗隐,471,1.0966495145405015,833,909,晚唐
16,张籍,467,1.0873361428671215,766,830,中唐
17,姚合,458,1.0663810566020164,-1,-1,唐
18,钱起,422,0.9825607115415959,-1,780,中唐
19,贾岛,406,0.9453072248480756,779,843,中唐
20,孟郊,402,0.9359938531746955,751,814,中唐
21,王建,395,0.9196954527462805,-1,-1,唐
22,岑参,388,0.9033970523178654,715,770,盛唐
23,韩愈,372,0.8661435656243452,768,824,中唐
24,皮日休,353,0.82190505017579,834,883,晚唐
25,温庭筠,352,0.8195767072574449,812,866,晚唐
26,王维,351,0.8172483643390998,701,761,盛唐
27,张祜,348,0.8102633355840648,-1,-1,唐
28,权德舆,339,0.7893082493189598,759,818,中唐
29,方干,338,0.7869799064006147,836,903,晚唐
30,韦庄,336,0.7823232205639247,836,910,晚唐
31,杜荀鹤,326,0.7590397913804745,846,904,晚唐
32,卢纶,322,0.7497264197070944,737,799,中唐
33,韩偓,316,0.7357563621970243,842,923,晚唐
34,郑谷,312,0.7264429905236444,851,910,晚唐
35,张说,298,0.6938461896668141,667,731,初唐
36,戴叔伦,289,0.672891103401709,732,789,盛唐
37,李中,287,0.668234417565019,-1,-1,唐
38,吴融,285,0.663577731728329,850,903,晚唐
39,李端,271,0.6309809308714988,743,782,盛唐
40,薛能,271,0.6309809308714988,-1,-1,唐
41,孟浩然,268,0.6239959021164637,689,740,盛唐
42,赵嘏,259,0.6030408158513586,-1,-1,唐
43,徐铉,246,0.5727723579128734,916,991,晚唐
44,徐夤,245,0.5704440149945285,-1,-1,唐
45,皇甫冉,242,0.5634589862394934,718,771,盛唐
46,李群玉,238,0.5541456145661132,808,862,中唐
47,顾况,236,0.5494889287294233,-1,-1,唐
48,李贺,235,0.5471605858110782,790,816,中唐
49,司空图,231,0.5378472141376982,837,908,晚唐
50,李峤,214,0.49826538452583297,-1,-1,唐
51,高適,208,0.48429532701576283,-1,-1,唐
52,李频,204,0.4749819553423828,818,876,晚唐
53,黄滔,198,0.4610118978323127,-1,-1,唐
54,施肩吾,196,0.45635521199562273,-1,-1,唐
55,周昙,195,0.4540268690772777,-1,-1,唐
56,张九龄,193,0.4493701832405877,673,740,初唐
57,武元衡,192,0.44704184032224265,758,815,中唐
58,宋之问,192,0.44704184032224265,656,712,初唐
59,鲍溶,190,0.44238515448555266,-1,-1,唐
60,耿湋,181,0.4214300682204475,-1,-1,唐
61,王昌龄,180,0.4191017253021025,698,757,盛唐
62,李益,178,0.41444503946541245,750,830,中唐
63,李咸用,177,0.41211669654706745,-1,-1,唐
64,储光羲,176,0.40978835362872246,-1,-1,唐
65,司空曙,174,0.4051316677920324,720,790,盛唐
66,沈佺期,171,0.3981466390369974,656,715,初唐
67,柳宗元,169,0.39348995320030733,773,819,中唐
68,马戴,168,0.39116161028196234,799,869,中唐
69,张乔,168,0.39116161028196234,-1,-1,唐
70,李洞,168,0.39116161028196234,-1,-1,唐
71,唐彦谦,167,0.38883326736361734,-1,-1,唐
72,韩翃,166,0.3865049244452723,-1,-1,唐
73,胡曾,166,0.3865049244452723,-1,-1,唐
74,朱庆馀,161,0.3748632098535472,-1,-1,唐
75,无名氏,158,0.36787818109851217,-1,-1,唐
76,杨巨源,149,0.34692309483340705,-1,-1,唐
77,曹松,146,0.339938066078372,828,903,晚唐
78,罗邺,143,0.332953037323337,-1,-1,唐
79,刘得仁,139,0.32363966564995694,-1,-1,唐
80,许棠,138,0.3213113227316119,-1,-1,唐
81,李德裕,136,0.3166546368949219,787,850,中唐
82,李嘉祐,135,0.31432629397657685,-1,-1,唐
83,李颀,130,0.30268457938485177,-1,-1,唐
84,李绅,127,0.29569955062981673,772,846,中唐
85,雍陶,124,0.2887145218747817,-1,-1,唐
86,骆宾王,124,0.2887145218747817,619,687,初唐
87,戎昱,118,0.27474446436471167,744,800,中唐
88,刘商,112,0.26077440685464154,-1,-1,唐
89,陈陶,111,0.25844606393629654,812,885,晚唐
90,卢照邻,109,0.2537893780996065,636,680,初唐
91,李涉,108,0.2514610351812615,-1,-1,唐
92,吕岩,107,0.24913269226291648,-1,-1,唐
93,苏颋,106,0.24680434934457146,670,727,初唐
94,曹邺,106,0.24680434934457146,-1,-1,唐
95,吕温,104,0.24214766350788142,772,811,中唐
96,张蠙,102,0.2374909776711914,-1,-1,唐
97,刘沧,102,0.2374909776711914,-1,-1,唐
98,崔涂,101,0.23516263475284638,-1,-1,唐
99,项斯,98,0.22817760599781137,-1,-1,唐
100,无可,98,0.22817760599781137,-1,-1,唐
101,羊士谔,95,0.22119257724277633,763,819,中唐
102,周贺,93,0.2165358914060863,-1,-1,唐
103,薛逢,92,0.21420754848774126,-1,-1,唐
104,卢仝,92,0.21420754848774126,795,835,中唐
105,徐凝,92,0.21420754848774126,-1,-1,唐
106,元结,91,0.21187920556939624,719,772,盛唐
107,陈子昂,90,0.20955086265105125,-1,-1,唐
108,李建勋,89,0.20722251973270622,872,952,晚唐
109,李世民,89,0.20722251973270622,599,649,初唐
110,独孤及,82,0.19092411930429115,725,777,盛唐
111,王勃,81,0.18859577638594613,649,675,初唐
112,欧阳詹,80,0.1862674334676011,-1,-1,唐
113,殷尧藩,79,0.18393909054925608,780,855,中唐
114,薛涛,78,0.1816107476309111,768,832,中唐
115,李山甫,78,0.1816107476309111,-1,-1,唐
116,吴筠,77,0.17928240471256607,-1,778,中唐
117,孙元晏,75,0.17462571887587602,-1,-1,唐
118,刘驾,74,0.17229737595753103,-1,-1,唐
119,章孝标,73,0.169969033039186,-1,-1,唐
120,刘兼,73,0.169969033039186,-1,-1,唐
121,顾非熊,72,0.167640690120841,-1,-1,唐
122,郎士元,72,0.167640690120841,-1,-1,唐
123,李郢,71,0.16531234720249596,-1,-1,唐
124,刘言史,71,0.16531234720249596,-1,812,中唐
125,于鹄,70,0.16298400428415097,-1,-1,唐
126,严维,69,0.16065566136580595,-1,-1,唐
127,崔道融,68,0.15832731844746095,-1,-1,唐
128,王贞白,67,0.15599897552911593,875,958,晚唐
129,李隆基,67,0.15599897552911593,685,762,盛唐
130,喻凫,66,0.1536706326107709,-1,-1,唐
131,陈羽,62,0.14435726093739085,-1,-1,唐
132,牟融,62,0.14435726093739085,-1,-1,唐
133,孙逖,61,0.14202891801904585,-1,-1,唐
134,杨衡,61,0.14202891801904585,-1,-1,唐
135,汪遵,60,0.13970057510070083,-1,-1,唐
136,王周,53,0.12340217467228573,-1,948,晚唐
137,崔国辅,52,0.12107383175394071,-1,-1,唐
138,常建,52,0.12107383175394071,-1,-1,唐
139,令狐楚,52,0.12107383175394071,766,837,中唐
140,裴说,52,0.12107383175394071,-1,-1,唐
141,段成式,51,0.1187454888355957,-1,863,晚唐
142,于武陵,51,0.1187454888355957,-1,-1,唐
143,皇甫曾,50,0.11641714591725069,-1,-1,唐
144,于濆,49,0.11408880299890568,-1,-1,唐
145,高骈,49,0.11408880299890568,821,887,晚唐
146,鱼玄机,49,0.11408880299890568,844,871,晚唐
147,张继,49,0.11408880299890568,715,779,盛唐
148,包佶,48,0.11176046008056066,-1,-1,唐
149,崔峒,48,0.11176046008056066,-1,-1,唐
150,武则天,48,0.11176046008056066,624,705,初唐
151,崔颢,48,0.11176046008056066,704,754,盛唐
152,周朴,46,0.10710377424387063,-1,878,晚唐
153,李乂,44,0.10244708840718061,-1,-1,唐
154,灵一,43,0.10011874548883559,728,762,盛唐
155,贾至,43,0.10011874548883559,718,772,盛唐
156,王绩,43,0.10011874548883559,589,644,初唐
157,聂夷中,43,0.10011874548883559,-1,-1,唐
158,张谓,41,0.09546205965214558,-1,-1,唐
159,曹唐,41,0.09546205965214558,-1,-1,唐
160,杜审言,41,0.09546205965214558,645,708,初唐
161,裴夷直,40,0.09313371673380055,-1,-1,唐
162,谭用之,40,0.09313371673380055,-1,-1,唐
163,窦巩,40,0.09313371673380055,-1,-1,唐
164,司马扎,39,0.09080537381545555,-1,-1,唐
165,储嗣宗,39,0.09080537381545555,-1,-1,唐
166,杨凝,39,0.09080537381545555,-1,-1,唐
167,李煜,38,0.08847703089711052,937,978,晚唐
168,虞世南,38,0.08847703089711052,558,638,初唐
169,秦韬玉,38,0.08847703089711052,-1,-1,唐
170,秦系,38,0.08847703089711052,-1,-1,唐
171,徐彦伯,37,0.08614868797876551,-1,714,盛唐
172,祖咏,37,0.08614868797876551,-1,-1,唐
173,陆畅,37,0.08614868797876551,-1,-1,唐
174,唐求,36,0.0838203450604205,-1,-1,唐
175,魏徵,36,0.0838203450604205,580,643,初唐
176,李远,36,0.0838203450604205,-1,-1,唐
177,孙光宪,36,0.0838203450604205,901,968,晚唐
178,褚亮,35,0.08149200214207548,-1,-1,唐
179,李昌符,35,0.08149200214207548,-1,887,晚唐
180,崔湜,34,0.07916365922373048,671,713,初唐
181,于邺,34,0.07916365922373048,-1,-1,唐
182,尚颜,33,0.07683531630538545,-1,-1,唐
183,高蟾,33,0.07683531630538545,-1,-1,唐
184,姚鹄,33,0.07683531630538545,-1,-1,唐
185,邵谒,33,0.07683531630538545,-1,-1,唐
186,林宽,33,0.07683531630538545,-1,-1,唐
187,杨炯,33,0.07683531630538545,-1,-1,唐
188,刘希夷,33,0.07683531630538545,-1,-1,唐
189,王涯,32,0.07450697338704045,-1,-1,唐
190,冯延巳,32,0.07450697338704045,903,960,晚唐
191,张泌,32,0.07450697338704045,-1,-1,唐
192,翁承赞,31,0.07217863046869542,-1,-1,唐
193,雍裕之,31,0.07217863046869542,-1,-1,唐
194,孟贯,31,0.07217863046869542,-1,-1,唐
