name,dynasty,description
杜甫,[唐] 712年 ~ 770年,杜甫，字子美，自号少陵野老，世称“杜工部”、“杜老”、“杜少陵”等，盛唐时期伟大的现实主义诗人。汉族，巩县（今河南巩义）人。杜甫曾祖父起由湖北襄阳迁居巩县。他忧国忧民，人格高尚，约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中的影响非常深远，备受推崇。759-766年间曾居成都，后世有杜甫草堂纪念之。杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了和李商隐与杜牧即“小李杜”区别开，杜甫与李白又合称“大李杜”。
刘禹锡,[唐] 772年 ~ 842年,刘禹锡，字梦得，唐朝洛阳（今河南省洛阳）人，唐朝文学家，哲学家，自称是汉中山靖王后裔，曾任监察御史，是王叔文政治改革集团的一员。唐代中晚期著名诗人，有“诗豪”之称。他的家庭是一个世代以儒学相传的书香门第。政治上主张革新，是王叔文派政治革新活动的中心人物之一。后来永贞革新失败被贬为朗州司马（今湖南常德）。据湖南常德历史学家、收藏家周新国先生考证刘禹锡被贬为朗州司马其间写了著名的“汉寿城春望”。
李商隐,[唐] 812年 ~ 858年,李商隐，著名诗人。擅长诗歌写作，骈文文学价值也很高，他是晚唐最出色的诗人之一，和杜牧合称“小李杜”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为人传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。因处于牛李党争的夹缝之中，一生很不得志。死后葬于家乡沁阳（今沁阳与博爱县交界之处）。作品收录为《李义山诗集》。
佚名,[清] 未知年 ~ 未知年,清朝所有佚名作者的总称。
李白,[唐] 701年 ~ 762年,李白，字太白，号青莲居士，唐朝诗人，有“诗仙”之称，伟大的浪漫主义诗人。汉族，出生于剑南道之绵州（今四川绵阳江油市青莲乡），一说生于西域碎叶城（今吉尔吉斯斯坦托克马克），5岁随父迁至剑南道之绵州（巴西郡）昌隆县（712年更名为昌明县），祖籍陇西郡成纪县（今甘肃天水市秦安县）。其父李客。育二子（伯禽、天然）一女（平阳）。存世诗文千余篇，代表作有《蜀道难》、《将进酒》等诗篇，有《李太白集》传世。762年病逝于安徽当涂，享年61岁。其墓在安徽当涂，四川江油、湖北安陆有纪念馆。
白居易,[唐] 772年 ~ 846年,白居易，字乐天，晚年又号香山居士，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑（今郑州新郑）人，我国唐代伟大的现实主义诗人，中国文学史上负有盛名且影响深远的诗人和文学家。他的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。白居易故居纪念馆坐落于洛阳市郊。白园（白居易墓）坐落在洛阳城南香山的琵琶峰。
贯休,[唐] 832年 ~ 912年,五代时僧。婺州兰溪人，俗姓姜，字德隐，号禅月大师。七岁投本县和安寺出家。苦节峻行，传《法华经》、《起信论》，精其奥义。钱镠重之。后入蜀，王建待之厚。工草书，时人比之阎立本、怀素。善绘水墨罗汉，笔法坚劲夸张，世称“梵相”。有诗名。尝有诗云：“一瓶一钵垂垂老，万水千山得得来。”人呼得得来和尚。有《禅月集》。
齐己,[唐] 864? ~ 943后年,唐僧。潭州长沙人，一说益阳人，俗名胡得生，自号衡岳沙门。天性颖悟，常以竹枝画牛背为诗，诗句多出人意表。众僧奇之，劝令落发为浮图。风度日改，声价益隆。尝住江陵之龙兴寺，署为僧正。后终于江陵。好吟咏，与郑谷酬唱，积以成编，号《白莲集》。又有《风骚旨格》。
元稹,[唐] 779年 ~ 831年,元稹，字微之，别字威明，唐洛阳人（今河南洛阳）。父元宽，母郑氏。为北魏宗室鲜卑族拓跋部后裔，是什翼犍之十四世孙。早年和白居易共同提倡“新乐府”。世人常把他和白居易并称“元白”。
韦应物,[唐] 737年 ~ 792年,韦应物，中国唐代诗人。汉族，长安（今陕西西安）人。今传有10卷本《韦江州集》、两卷本《韦苏州诗集》、10卷本《韦苏州集》。散文仅存一篇。因出任过苏州刺史，世称“韦苏州”。诗风恬淡高远，以善于写景和描写隐逸生活著称。
陆龟蒙,[唐] ? ~ 881年,陆龟蒙，唐代农学家、文学家，字鲁望，号天随子、江湖散人、甫里先生，长洲（今苏州）人。曾任湖州、苏州刺史幕僚，后隐居松江甫里（今甪直镇），编著有《甫里先生文集》等。他的小品文主要收在《笠泽丛书》中，现实针对性强，议论也颇精切，如《野庙碑》、《记稻鼠》等。陆龟蒙与皮日休交友，世称“皮陆”，诗以写景咏物为多。
皎然,[唐] ? ~ ?,皎然，生卒年不详，湖州人，俗姓谢，字清昼，是中国山水诗创始人谢灵运的后代，是唐代最有名的诗僧、茶僧。南朝谢灵运十世孙。活动于大历、贞元年间，有诗名。他的《诗式》为当时诗格一类作品中较有价值的一部。其诗清丽闲淡，多为赠答送别、山水游赏之作。在《全唐诗》编其诗为815·821共7卷，他为后人留下了470首诗篇，在文学、佛学、茶学等许多方面有深厚造诣，堪称一代宗师。
杜牧,[唐] 803年 ~ 852年,杜牧，字牧之，号樊川居士，汉族，京兆万年（今陕西西安）人。杜牧是唐代杰出的诗人、散文家，是宰相杜佑之孙，杜从郁之子。唐文宗大和二年26岁中进士，授弘文馆校书郎。后赴江西观察使幕，转淮南节度使幕，又入观察使幕，理人国史馆修撰，膳部、比部、司勋员外郎，黄州、池州、睦州刺史等职，最终官居中书舍人。因晚年居长安南樊川别墅，故后世称“杜樊川”，著有《樊川文集》。杜牧的诗歌以七言绝句著称，内容以咏史抒怀为主，其诗英发俊爽，多切经世之物，在晚唐成就颇高。杜牧人称“小杜”，以别于杜甫，“大杜”。与李商隐并称“小李杜”。
罗隐,[唐] 833年 ~ 909年,罗隐，字昭谏，新城（今浙江省杭州市富阳区新登镇）人，唐末五代时期诗人、文学家、思想家。 大中十三年（公元859年）底至京师，应进士试，历七年不第。咸通八年（公元867年）乃自编其文为《谗书》，益为统治阶级所憎恶，所以罗衮赠诗说：“谗书虽胜一名休”。后来又断断续续考了几年，总共考了十多次，自称“十二三年就试期”，最终还是铩羽而归，史称“十上不第”。黄巢起义后，避乱隐居九华山，光启三年（公元887年），55岁时归乡依吴越王钱镠，历任钱塘令、司勋郎中、给事中等职。公元909年（五代后梁开平三年）去世，享年77岁。 著有《谗书》及《太平两同书》等，思想属于道家，其书乃在力图提炼出一套供天下人使用的“太平匡济术”，是乱世中黄老思想复兴发展的产物。
刘长卿,[唐] 726年 ~ 786年,唐宣州（今安徽宣城）人，郡望河间，字文房。早岁居洛阳。曾任随州（今属湖北）刺史，世称「刘随州」。唐玄宗开元中即已应进士举，天宝后期始登第。释褐长洲尉。唐肃宗至德三载（西元七五八年）摄海盐令。同年以事下狱，贬南巴尉，复勘后得量移。唐代宗永泰元年（西元七六五年）后入京。大历初以检校祠部员外郎出为转运使判官，驻扬州。后擢鄂岳转运留后。为鄂岳观察使吴仲孺诬奏，贬睦州司马。唐德宗建中初迁随州刺史。建中三年（西元七八二年）李希烈叛，据随州，文房流寓江州。晚岁入淮南节度使幕。约卒于贞元六年（西元七九〇年）前后。刘随州年辈与杜少陵相若，早年工诗，然以诗名家，则在肃 代以后。与钱起并称「钱 刘」，为大历诗风之主要代表。平生致力于近体，尤工五律，自称「五言长城」，时人许之。诗中多身世之叹，于国计民瘼，亦时有涉及。其诗词旨朗隽，情韵相生。故方虚谷云：「长卿诗细淡而不显焕，观者当缓缓味之。」《瀛奎律髓·卷四十二》方仪卫云：「文房诗多兴在象外，专以此求之，则成句皆有馀味不尽之妙矣。」《昭昧詹言·卷十八》唐人评长卿诗，尚多微辞。如高仲武云：「（刘）诗体虽不新奇，甚能链饰。大抵十首已上，语意稍同，于落句尤甚，思锐才窄也。」《中兴间气集》其后则评价日高。《唐音癸签·卷七》引《吟谱》谓：「刘长卿最得骚人之兴，专主情景。」王阮亭则云：「七律宜读王右丞、李东川。尤宜熟玩刘文房诸作。」（何世璂《然镫记闻》）其集称《刘随州集》，一作十卷，一作十一卷。今人注本有储仲君《刘长卿诗编年笺注》、杨世明《刘长卿诗编年校注》。《全唐诗》存诗五卷，《全唐诗外编》及《全唐诗续拾》补诗二首。其事迹散见于《新唐书·艺文志四》、《唐诗纪事·卷二十六·刘长卿》、《唐才子传·卷二·刘长卿传》等处，颇多缺误。今人傅璇琮主编之《〈唐才子传〉校笺》考辨较备。
张籍,[唐] 766年 ~ 830年,张籍，字文昌，唐代诗人，和州乌江（今安徽和县）人。郡望苏州吴（今江苏苏州），汉族，先世移居和州，遂为和州乌江（今安徽和县乌江镇）人。世称“张水部”、“张司业”。张籍为韩门大弟子，其乐府诗与王建齐名，并称“张王乐府”，著名诗篇有《塞下曲》《征妇怨》《采莲曲》《江南曲》《秋思》等。
姚合,[唐] 775年 ~ 854以后年,唐陕州硖石人，一说吴兴人。姚崇曾孙，一说姚崇曾侄孙。宪宗元和十一年进士。授武功主簿，世称姚武功。敬宗宝历中为监察御史。文宗大和中，出为金、杭州刺史。入为谏议大夫，改给事中。时民诉牛羊使夺其田，诏朱俦覆按，猥以田归使，合劾发其私，以地还民。官终秘书监。工诗，其诗称武功体。与贾岛并称贾姚或姚贾。曾选王维、钱起等人诗编为《极玄集》。有诗集等。
许浑,[唐] 约791年 ~ 约858年,字用晦（一作仲晦），唐代诗人，润州丹阳（今江苏丹阳）人。晚唐最具影响力的诗人之一，其一生不作古诗，专攻律体；题材以怀古、田园诗为佳，艺术则以偶对整密、诗律纯熟为特色。唯诗中多描写水、雨之景，后人拟之与诗圣杜甫齐名，并以“许浑千首诗，杜甫一生愁”评价之。成年后移家京口（今江苏镇江）丁卯涧，以丁卯名其诗集，后人因称“许丁卯”。许诗误入杜牧集者甚多。代表作有《咸阳城东楼》。
钱起,[唐] ? ~ 780年,钱起，字仲文，吴兴（今属浙江）人。天宝进士，曾任考功郎中，故世称钱考功。代宗大历中为翰林学士。他是大历十才子之一，也是其中杰出者。又与郎士元齐名，当时称为“前有沈宋，后有钱郎”。
贾岛,[唐] 779年 ~ 843年,贾岛，字浪仙，又名瘦岛，唐代诗人。汉族，唐朝河北道幽州范阳县（今河北省涿州市）人。早年出家为僧，号无本。自号“碣石山人”。据说在长安（今陕西西安）的时候因当时有命令禁止和尚午后外出，贾岛做诗发牢骚，被韩愈发现其才华，并成为“苦吟诗人”。后受教于韩愈，并还俗参加科举，但累举不中第。唐文宗的时候被排挤，贬做长江（今四川蓬溪县）主簿。唐武宗会昌年初由普州司仓参军改任司户，未任病逝。
孟郊,[唐] 751年 ~ 814年,孟郊，唐代诗人。字东野。汉族，湖州武康（今浙江德清）人，祖籍平昌（今山东临邑东北），先世居洛阳（今属河南）。唐代著名诗人。现存诗歌500多首，以短篇的五言古诗最多，代表作有《游子吟》。有“诗囚”之称，又与贾岛齐名，人称“郊寒岛瘦”。元和九年，在阌乡（今河南灵宝）因病去世。张籍私谥为贞曜先生。
王建,[唐] ? ~ ?,王建（生卒年不详），字仲初，颍川（今河南许昌）人，唐朝诗人。出身寒微，一生潦倒。曾一度从军，约46岁始入仕，曾任昭应县丞、太常寺丞等职。后出为陕州司马，世称王司马。约64岁为光州刺史。与张籍友善，乐府与张齐名，世称张王乐府。其诗题材广泛，生活气息浓厚，思想深刻。善于选择有典型意义的人、事和环境加以艺术概括，集中而形象地反映现实，揭露矛盾。多用比兴、白描、对比等手法，常在结尾以重笔突出主题。体裁多为七言歌行，篇幅短小。语言通俗凝练，富有民歌谣谚色彩。
皮日休,[唐] 834? ~ 883后年,唐襄阳人，字逸少，后改袭美，早年居鹿门山，自号鹿门子，又号间气布衣、醉吟先生等。懿宗咸通八年擢进士第。十年，为苏州刺史从事，与陆龟蒙交游唱和，人称皮陆。后又入京为太常博士。僖宗乾符五年，黄巢军下江浙，日休为巢所得，任为翰林学士。巢败，日休下落不明，或云为朝廷所杀，或云为巢所杀，或云至吴越依钱镠，或云流寓宿州。有《皮子文薮》、《松陵集》。
